Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,status
2176,0.13,0.59,5,160,5,0,0,technical,medium,exist
2177,0.82,0.73,4,195,5,1,0,technical,medium,exist
2178,0.17,0.92,4,189,2,0,0,technical,medium,exist
2179,0.21,0.82,4,207,5,0,0,technical,high,exist
2180,0.89,0.47,4,108,3,0,0,technical,low,exist
2181,0.2,0.72,6,224,4,0,0,technical,medium,exist
2182,0.99,0.81,5,180,3,1,0,technical,medium,exist
2183,0.26,0.85,6,152,4,0,0,support,medium,exist
2184,0.22,0.53,4,244,2,0,0,support,medium,exist
2185,0.79,0.84,3,176,3,0,0,support,low,exist
2186,0.73,0.79,4,145,2,1,0,support,low,exist
2187,0.83,0.54,3,149,3,0,0,support,low,exist
2188,0.42,0.54,3,122,4,0,0,support,low,exist
2189,0.18,0.8,2,110,5,0,0,support,low,exist
2190,0.92,0.91,4,222,2,0,0,support,low,exist
2191,0.87,0.52,3,237,3,0,0,support,low,exist
2192,0.72,0.65,4,224,3,0,0,support,low,exist
2193,0.64,0.58,5,115,5,0,0,support,low,exist
2194,1.0,0.66,4,180,3,0,0,technical,low,exist
2195,0.83,0.65,4,162,3,0,0,technical,low,exist
2196,0.98,0.58,4,136,3,0,0,technical,low,exist
2197,0.7,0.87,3,260,2,0,0,management,low,exist
2198,0.9,0.79,4,150,2,0,0,IT,low,exist
2199,0.55,0.99,4,248,3,0,0,IT,low,exist
2200,0.78,0.84,3,233,3,1,0,IT,low,exist
2201,0.89,0.53,5,272,3,0,0,IT,low,exist
2202,0.17,0.59,3,197,5,0,0,IT,low,exist
2203,0.14,0.64,5,164,5,0,0,product_mng,low,exist
2204,0.85,0.57,4,216,2,0,0,product_mng,low,exist
2205,0.84,0.79,4,266,3,1,0,product_mng,low,exist
2206,0.7,0.69,3,102,4,1,0,product_mng,medium,exist
2207,0.16,0.98,5,284,5,0,0,IT,medium,exist
2208,0.51,0.69,3,145,2,1,0,RandD,medium,exist
2209,0.6,0.89,3,167,4,0,0,RandD,medium,exist
2210,0.5,0.63,3,172,2,0,0,RandD,medium,exist
2211,0.43,0.39,5,198,5,0,0,RandD,medium,exist
2212,0.5,0.7,4,201,4,0,0,RandD,medium,exist
2213,0.91,0.89,4,197,4,0,0,marketing,medium,exist
2214,0.65,0.93,4,270,2,0,0,sales,medium,exist
2215,0.59,0.52,2,149,3,0,0,accounting,medium,exist
2216,0.89,0.56,3,256,3,0,0,support,medium,exist
2217,0.97,0.6,3,162,3,0,0,technical,medium,exist
2218,0.56,0.97,5,163,2,0,0,management,high,exist
2219,0.76,0.93,3,266,3,1,0,marketing,low,exist
2220,0.28,0.55,4,208,4,0,0,marketing,medium,exist
2221,0.75,0.51,4,138,4,0,0,marketing,medium,exist
2222,0.78,0.81,4,232,3,0,0,sales,medium,exist
2223,0.26,0.63,6,100,4,0,0,sales,medium,exist
2224,0.53,0.72,2,172,5,0,0,sales,low,exist
2225,0.25,0.41,3,133,6,1,0,sales,low,exist
2226,0.82,0.51,3,234,3,0,0,sales,low,exist
2227,0.71,0.57,2,183,4,0,0,sales,low,exist
2228,0.61,0.95,4,174,4,0,0,sales,low,exist
2229,0.89,0.68,3,175,2,0,0,sales,low,exist
2230,0.57,0.78,3,109,3,1,0,sales,low,exist
2231,0.93,0.8,4,248,3,0,0,sales,low,exist
2232,0.61,0.84,5,104,4,0,0,sales,low,exist
2233,0.56,0.62,3,154,2,0,0,sales,low,exist
2234,0.7,0.89,6,214,2,0,0,sales,low,exist
2235,0.9,0.64,4,209,4,0,0,sales,low,exist
2236,0.15,0.74,6,212,2,0,0,sales,low,exist
2237,0.39,0.36,3,168,3,1,0,sales,low,exist
2238,0.74,0.72,4,176,3,0,0,sales,low,exist
2239,0.7,0.61,4,163,4,1,0,sales,low,exist
2240,0.72,0.93,4,148,2,0,0,sales,low,exist
2241,0.61,0.97,3,137,3,0,0,accounting,low,exist
2242,0.96,1.0,5,162,3,0,0,accounting,low,exist
2243,0.7,0.59,4,216,3,0,0,accounting,low,exist
2244,0.92,0.49,3,240,2,0,0,hr,low,exist
2245,0.72,0.56,4,176,2,0,0,hr,medium,exist
2246,0.53,0.75,6,192,6,0,0,hr,medium,exist
2247,0.67,0.85,3,160,4,0,0,hr,medium,exist
2248,0.78,0.8,4,194,2,1,0,technical,medium,exist
2249,0.53,0.75,4,239,2,1,0,technical,medium,exist
2250,0.9,0.48,4,204,3,0,0,technical,medium,exist
2251,0.16,0.9,5,258,3,0,0,technical,medium,exist
2252,0.62,0.38,3,257,3,0,0,technical,medium,exist
2253,0.62,0.98,4,137,3,0,0,technical,medium,exist
2254,0.22,0.52,6,175,4,0,0,technical,medium,exist
2255,0.91,0.82,3,183,3,0,0,technical,medium,exist
2256,0.87,0.74,4,190,4,0,0,technical,medium,exist
2257,0.95,0.69,3,225,2,0,0,technical,high,exist
2258,0.99,0.75,3,215,3,0,0,technical,low,exist
2259,0.99,0.57,3,176,4,1,0,support,medium,exist
2260,0.77,0.99,4,153,3,1,0,support,medium,exist
2261,0.75,0.68,3,150,2,1,0,support,medium,exist
2262,0.83,0.54,4,259,5,0,0,support,medium,exist
2263,0.61,0.39,3,99,2,0,0,support,low,exist
2264,0.91,0.97,3,167,2,0,0,support,low,exist
2265,0.47,0.64,3,192,3,0,0,support,low,exist
2266,0.77,0.61,5,146,3,0,0,support,low,exist
2267,0.55,0.51,3,190,3,0,0,support,low,exist
2268,0.32,0.48,5,246,3,0,0,support,low,exist
2269,0.96,0.67,6,190,3,0,0,support,low,exist
2270,0.72,0.79,5,260,2,0,0,technical,low,exist
2271,0.8,0.9,4,136,3,0,0,technical,low,exist
2272,0.61,0.55,4,231,3,0,0,technical,low,exist
2273,0.97,0.88,3,204,2,0,0,management,low,exist
2274,0.63,0.93,4,201,3,0,0,IT,low,exist
2275,0.92,0.92,3,159,3,0,0,IT,low,exist
2276,0.94,0.74,5,171,3,0,0,IT,low,exist
2277,0.79,0.72,6,240,4,0,0,IT,low,exist
2278,0.75,0.73,2,152,4,0,0,IT,low,exist
2279,0.78,0.99,3,151,3,1,0,product_mng,low,exist
2280,0.96,0.45,6,232,2,1,0,product_mng,low,exist
2281,0.65,0.68,4,128,5,0,0,product_mng,low,exist
2282,0.18,0.94,3,187,6,1,0,product_mng,low,exist
2283,0.94,0.51,3,160,2,0,0,IT,low,exist
2284,0.84,0.79,4,259,3,0,0,RandD,medium,exist
2285,0.67,0.54,2,136,2,0,0,RandD,medium,exist
2286,0.71,0.5,4,253,3,0,0,RandD,medium,exist
2287,0.56,0.64,3,260,3,0,0,RandD,medium,exist
2288,0.29,0.56,5,231,6,0,0,RandD,medium,exist
2289,0.47,0.9,3,101,2,1,0,marketing,medium,exist
2290,0.4,0.69,2,174,3,0,0,sales,medium,exist
2291,0.81,0.82,4,167,2,0,0,accounting,medium,exist
2292,0.96,0.99,3,148,3,0,0,support,medium,exist
2293,0.99,0.75,6,139,5,1,0,technical,medium,exist
2294,0.75,0.77,4,136,3,0,0,management,medium,exist
2295,0.75,0.74,4,153,2,0,0,marketing,medium,exist
2296,1.0,0.86,4,161,2,0,0,marketing,high,exist
2297,0.52,0.53,2,163,2,0,0,marketing,low,exist
2298,0.98,0.74,3,164,3,0,0,sales,medium,exist
2299,0.6,0.64,2,137,5,0,0,sales,medium,exist
2300,0.38,0.44,3,137,3,0,0,sales,medium,exist
2301,0.51,0.41,6,106,5,0,0,sales,medium,exist
2302,0.91,0.61,2,272,2,0,0,sales,low,exist
2303,0.56,0.62,5,238,3,0,0,sales,low,exist
2304,0.58,0.69,4,223,4,0,0,sales,low,exist
2305,0.51,0.53,3,201,2,0,0,sales,low,exist
2306,0.91,0.55,6,97,4,0,0,sales,low,exist
2307,0.8,0.98,2,232,6,1,0,sales,low,exist
2308,0.55,0.83,4,199,3,0,0,sales,low,exist
2309,0.62,0.53,3,141,3,0,0,sales,low,exist
2310,0.62,0.6,3,171,2,0,0,sales,low,exist
2311,0.87,0.58,4,212,3,0,0,sales,low,exist
2312,0.65,0.5,5,270,2,0,0,sales,low,exist
2313,0.51,0.64,3,267,2,0,0,sales,low,exist
2314,0.98,0.77,3,134,2,1,0,sales,low,exist
2315,0.13,0.43,4,165,5,0,0,sales,low,exist
2316,0.78,0.76,5,168,4,1,0,sales,low,exist
2317,0.6,0.98,3,262,2,0,0,accounting,low,exist
2318,0.68,0.69,3,185,2,0,0,accounting,low,exist
2319,0.55,0.84,3,237,3,0,0,accounting,low,exist
2320,0.99,0.79,4,192,3,0,0,hr,low,exist
2321,0.92,0.68,5,236,2,0,0,hr,low,exist
2322,1.0,0.65,4,202,4,1,0,hr,low,exist
2323,0.77,0.93,4,171,2,0,0,hr,medium,exist
2324,0.86,0.7,5,160,3,0,0,technical,medium,exist
2325,0.89,0.84,2,252,3,0,0,technical,medium,exist
2326,0.58,0.55,5,206,3,0,0,technical,medium,exist
2327,0.56,0.66,3,212,2,0,0,technical,medium,exist
2328,0.38,0.64,3,111,3,0,0,technical,medium,exist
2329,0.62,0.64,3,240,2,0,0,technical,medium,exist
2330,0.66,0.77,2,171,2,0,0,technical,medium,exist
2331,0.3,0.44,3,129,2,0,0,technical,medium,exist
2332,0.82,0.83,3,271,2,0,0,technical,medium,exist
2333,0.96,0.68,4,162,2,0,0,technical,medium,exist
2334,0.66,0.95,3,191,3,0,0,technical,medium,exist
2335,0.79,0.5,5,176,3,0,0,support,high,exist
2336,0.97,0.77,3,182,2,1,0,support,low,exist
2337,0.59,0.65,3,226,3,0,0,support,medium,exist
2338,0.57,0.48,4,161,3,0,0,support,medium,exist
2339,0.64,0.53,4,163,3,0,0,support,medium,exist
2340,0.14,0.51,5,173,4,0,0,support,medium,exist
2341,0.48,0.55,3,228,2,0,0,support,low,exist
2342,0.78,1.0,3,139,3,0,0,support,low,exist
2343,0.96,0.62,5,128,5,0,0,support,low,exist
2344,0.82,0.97,3,115,2,1,0,support,low,exist
2345,0.94,0.9,5,191,4,0,0,support,low,exist
2346,0.95,0.66,4,183,3,0,0,technical,low,exist
2347,0.59,0.43,3,173,3,0,0,technical,low,exist
2348,0.69,0.89,4,174,2,0,0,technical,low,exist
2349,0.74,0.72,3,213,3,0,0,management,low,exist
2350,0.67,0.67,4,192,4,0,0,IT,low,exist
2351,0.83,0.52,3,167,2,1,0,IT,low,exist
2352,0.81,0.85,3,263,3,1,0,IT,low,exist
2353,0.54,0.73,2,100,3,0,0,IT,low,exist
2354,0.89,0.83,3,164,3,0,0,IT,low,exist
2355,0.79,0.74,5,172,2,0,0,product_mng,low,exist
2356,0.46,0.58,4,171,3,0,0,product_mng,low,exist
2357,0.99,0.93,4,236,3,0,0,product_mng,low,exist
2358,0.75,0.9,5,186,4,0,0,product_mng,low,exist
2359,0.93,0.82,4,175,3,0,0,IT,low,exist
2360,0.65,0.6,5,227,3,0,0,RandD,low,exist
2361,0.19,0.63,4,142,6,0,0,RandD,low,exist
2362,0.48,0.61,2,121,2,0,0,RandD,medium,exist
2363,0.95,0.64,5,234,3,0,0,RandD,medium,exist
2364,0.92,0.77,4,185,3,0,0,RandD,medium,exist
2365,0.84,0.54,4,160,3,0,0,marketing,medium,exist
2366,0.37,0.63,4,153,3,1,0,sales,medium,exist
2367,0.22,0.74,3,199,6,0,0,accounting,medium,exist
2368,0.64,0.54,3,166,2,0,0,support,medium,exist
2369,0.72,0.88,2,247,3,0,0,technical,medium,exist
2370,0.48,0.69,4,245,3,0,0,management,medium,exist
2371,0.12,0.55,5,242,4,0,0,marketing,medium,exist
2372,0.78,0.98,5,158,2,0,0,marketing,medium,exist
2373,0.71,0.74,3,163,3,1,0,marketing,medium,exist
2374,0.38,0.69,3,99,3,1,0,sales,high,exist
2375,0.57,0.85,4,164,3,0,0,sales,low,exist
2376,0.72,0.51,3,160,3,0,0,sales,medium,exist
2377,0.6,0.57,2,184,3,0,0,sales,medium,exist
2378,0.61,0.55,5,266,2,0,0,sales,medium,exist
2379,0.67,0.64,4,190,2,0,0,sales,medium,exist
2380,0.97,0.97,5,192,2,0,0,sales,low,exist
2381,0.22,0.6,3,205,6,1,0,sales,low,exist
2382,0.15,0.53,4,205,5,1,0,sales,low,exist
2383,0.6,0.6,3,258,3,0,0,sales,low,exist
2384,0.15,0.8,5,151,2,1,0,sales,low,exist
2385,0.5,0.81,3,148,2,0,0,sales,low,exist
2386,0.9,0.67,3,179,2,0,0,sales,low,exist
2387,0.84,0.51,6,141,2,1,0,sales,low,exist
2388,0.74,0.78,5,216,2,0,0,sales,low,exist
2389,0.72,0.51,3,235,2,0,0,sales,low,exist
2390,0.93,0.63,3,160,4,1,0,sales,low,exist
2391,0.54,0.69,3,141,4,0,0,sales,low,exist
2392,0.87,0.65,4,246,2,1,0,sales,low,exist
2393,0.19,0.98,5,226,4,1,0,accounting,low,exist
2394,0.33,0.4,4,212,2,1,0,accounting,low,exist
2395,0.94,0.93,4,220,3,0,0,accounting,low,exist
2396,0.77,0.49,4,266,2,0,0,hr,low,exist
2397,0.48,0.82,3,183,2,0,0,hr,low,exist
2398,0.7,0.74,5,263,3,1,0,hr,low,exist
2399,0.54,0.93,4,161,4,1,0,hr,low,exist
2400,0.61,0.98,4,199,2,0,0,technical,low,exist
2401,0.97,0.4,4,258,4,1,0,technical,medium,exist
2402,0.6,0.85,3,209,2,1,0,technical,medium,exist
2403,0.93,0.84,5,135,3,0,0,technical,medium,exist
2404,0.48,0.69,4,222,2,0,0,technical,medium,exist
2405,0.16,0.76,5,192,3,0,0,technical,medium,exist
2406,0.18,0.75,3,250,3,0,0,technical,medium,exist
2407,0.84,0.75,3,187,3,1,0,technical,medium,exist
2408,0.69,0.63,4,217,3,0,0,technical,medium,exist
2409,0.22,0.88,4,213,3,1,0,technical,medium,exist
2410,0.83,0.52,4,273,3,0,0,technical,medium,exist
2411,0.58,0.5,2,132,3,0,0,support,medium,exist
2412,0.61,0.62,4,140,3,1,0,support,medium,exist
2413,0.67,0.5,4,173,2,1,0,support,high,exist
2414,0.56,0.76,4,189,2,0,0,support,low,exist
2415,0.74,0.74,3,156,3,0,0,support,medium,exist
2416,0.92,0.97,4,238,5,1,0,support,medium,exist
2417,0.81,0.68,5,230,2,0,0,support,medium,exist
2418,0.48,0.49,4,242,2,1,0,support,medium,exist
2419,0.73,0.72,4,197,3,0,0,support,low,exist
2420,0.97,0.66,6,164,5,0,0,support,low,exist
2421,0.15,0.51,6,248,5,0,0,support,low,exist
2422,0.69,0.76,5,255,6,0,0,technical,low,exist
2423,0.61,0.68,5,225,4,0,0,technical,low,exist
2424,0.86,0.58,3,151,2,0,0,technical,low,exist
2425,0.55,0.88,4,252,3,0,0,management,low,exist
2426,0.9,0.74,4,206,4,1,0,IT,low,exist
2427,0.65,0.4,2,141,2,0,0,IT,low,exist
2428,0.81,0.92,5,259,3,0,0,IT,low,exist
2429,0.65,0.86,5,250,3,0,0,IT,low,exist
2430,0.47,0.86,4,169,6,0,0,IT,low,exist
2431,0.93,0.53,3,200,3,1,0,product_mng,low,exist
2432,0.77,0.9,4,104,5,0,0,product_mng,low,exist
2433,0.87,0.82,6,176,3,0,0,product_mng,low,exist
2434,0.87,0.84,5,137,2,0,0,product_mng,low,exist
2435,0.65,0.75,2,151,3,0,0,IT,low,exist
2436,0.21,0.7,6,130,6,1,0,RandD,low,exist
2437,0.75,0.59,4,199,2,0,0,RandD,low,exist
2438,0.72,0.86,4,191,2,0,0,RandD,low,exist
2439,0.88,0.63,3,273,3,1,0,RandD,low,exist
2440,0.66,0.58,3,205,3,0,0,RandD,medium,exist
2441,0.8,0.75,3,181,3,0,0,marketing,medium,exist
2442,0.22,0.55,4,261,3,1,0,sales,medium,exist
2443,0.92,0.69,3,192,3,0,0,accounting,medium,exist
2444,0.54,0.77,4,271,3,0,0,support,medium,exist
2445,0.91,0.56,4,158,3,0,0,technical,medium,exist
2446,0.77,0.83,4,231,2,0,0,management,medium,exist
2447,0.61,0.51,3,156,3,1,0,marketing,medium,exist
2448,0.48,0.9,4,201,4,0,0,marketing,medium,exist
2449,0.25,0.69,3,187,4,0,0,marketing,medium,exist
2450,0.91,0.7,3,132,4,0,0,sales,medium,exist
2451,0.72,0.58,5,147,3,1,0,sales,medium,exist
2452,0.77,0.71,4,223,3,0,0,sales,high,exist
2453,0.41,0.4,2,194,2,0,0,sales,low,exist
2454,0.51,0.49,4,234,2,0,0,sales,medium,exist
2455,0.72,0.79,3,149,3,0,0,sales,medium,exist
2456,0.47,0.57,3,162,3,1,0,sales,medium,exist
2457,0.53,0.67,4,238,2,0,0,sales,medium,exist
2458,0.65,0.52,5,149,3,0,0,sales,low,exist
2459,0.18,0.75,4,170,5,0,0,sales,low,exist
2460,0.61,0.48,3,250,2,0,0,sales,low,exist
2461,0.86,0.72,4,167,2,0,0,sales,low,exist
2462,0.14,0.77,4,166,5,0,0,sales,low,exist
2463,0.63,0.8,3,205,2,0,0,sales,low,exist
2464,0.79,0.57,3,250,3,0,0,sales,low,exist
2465,0.78,0.97,4,142,3,0,0,sales,low,exist
2466,0.14,0.52,4,217,6,0,0,sales,low,exist
2467,0.85,0.54,3,139,3,0,0,sales,low,exist
2468,0.85,0.75,4,139,3,0,0,sales,low,exist
2469,0.91,0.76,5,152,3,0,0,accounting,low,exist
2470,0.76,0.74,3,224,2,0,0,accounting,low,exist
